,BonusAmount,Trialid,action,comments,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,length,outcomeRT,pbGamble,phase,recordedPresses,recordedTimes,response,standardGamble,status,switchTimes,template,templates,trialNumber,understand,uniqueid,viewTime
0,,,Begin,,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-4.html', u'instructions/instruct-ready.html']",,,debugGQCNUV:debugNPDFZD,
1,,,NextPage,,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,debugGQCNUV:debugNPDFZD,428
2,,,NextPage,,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,debugGQCNUV:debugNPDFZD,1430
3,,,NextPage,,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,debugGQCNUV:debugNPDFZD,1630
4,,,NextPage,,,,,,,,,,3,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-4.html,,,,debugGQCNUV:debugNPDFZD,3310
5,,,FinishInstructions,,,,,,,,,,4,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-ready.html,,,,debugGQCNUV:debugNPDFZD,847
6,,,,,,,,,,,,,,,,,,postquestionnaire,,,,,begin,,,,,,debugGQCNUV:debugNPDFZD,
7,1,,,,,,,,,,,,,,,,,postquestionnaire,,,,,submit,,,,,,debugGQCNUV:debugNPDFZD,
8,,,,This was terrible.,,,,,,,,,,,,,,,,,,,,,,,,,debugGQCNUV:debugNPDFZD,
9,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,debugGQCNUV:debugNPDFZD,
10,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,debugGQCNUV:debugNPDFZD,
11,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,debugGQCNUV:debugNPDFZD,
12,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,debugGQCNUV:debugNPDFZD,
13,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,debugGQCNUV:debugNPDFZD,
14,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,debugGQCNUV:debugNPDFZD,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,debugGQCNUV:debugNPDFZD,
16,,,Begin,,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-4.html', u'instructions/instruct-ready.html']",,,debugVOY27V:debugHRG57Q,
17,,,NextPage,,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,debugVOY27V:debugHRG57Q,563
18,,,NextPage,,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,debugVOY27V:debugHRG57Q,18165
19,,,NextPage,,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,debugVOY27V:debugHRG57Q,6934
20,,,NextPage,,,,,,,,,,3,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-4.html,,,,debugVOY27V:debugHRG57Q,7671
21,,,FinishInstructions,,,,,,,,,,4,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-ready.html,,,,debugVOY27V:debugHRG57Q,1623
22,,5,,,,,,,710.760372,1354,,,,,,229,,,,,gamble,5,,,,,1,,debugVOY27V:debugHRG57Q,
23,,,Begin,,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-4.html', u'instructions/instruct-ready.html']",,,debugVOY27V:debugHRG57Q,
24,,,NextPage,,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,debugVOY27V:debugHRG57Q,503
25,,,NextPage,,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,debugVOY27V:debugHRG57Q,924
26,,,NextPage,,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,debugVOY27V:debugHRG57Q,1927
27,,,NextPage,,,,,,,,,,3,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-4.html,,,,debugVOY27V:debugHRG57Q,2383
28,,,FinishInstructions,,,,,,,,,,4,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-ready.html,,,,debugVOY27V:debugHRG57Q,696
29,,,Begin,,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-4.html', u'instructions/instruct-ready.html']",,,debugVOY27V:debugHRG57Q,
30,,,NextPage,,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,debugVOY27V:debugHRG57Q,554
31,,,NextPage,,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,debugVOY27V:debugHRG57Q,894
32,,,NextPage,,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,debugVOY27V:debugHRG57Q,750
33,,,NextPage,,,,,,,,,,3,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-4.html,,,,debugVOY27V:debugHRG57Q,1319
34,,,FinishInstructions,,,,,,,,,,4,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-ready.html,,,,debugVOY27V:debugHRG57Q,1072
35,,,Begin,,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-4.html', u'instructions/instruct-ready.html']",,,debugVOY27V:debugHRG57Q,
36,,,NextPage,,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,debugVOY27V:debugHRG57Q,788
37,,,NextPage,,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,debugVOY27V:debugHRG57Q,932
38,,,NextPage,,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,debugVOY27V:debugHRG57Q,519
39,,,NextPage,,,,,,,,,,3,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-4.html,,,,debugVOY27V:debugHRG57Q,1159
40,,,FinishInstructions,,,,,,,,,,4,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-ready.html,,,,debugVOY27V:debugHRG57Q,791
41,,,Begin,,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-4.html', u'instructions/instruct-ready.html']",,,debugVOY27V:debugHRG57Q,
42,,,NextPage,,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,debugVOY27V:debugHRG57Q,553
43,,,NextPage,,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,debugVOY27V:debugHRG57Q,940
44,,,NextPage,,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,debugVOY27V:debugHRG57Q,727
45,,,NextPage,,,,,,,,,,3,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-4.html,,,,debugVOY27V:debugHRG57Q,1247
46,,,FinishInstructions,,,,,,,,,,4,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-ready.html,,,,debugVOY27V:debugHRG57Q,663
47,,,Begin,,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-4.html', u'instructions/instruct-ready.html']",,,debugVOY27V:debugHRG57Q,
48,,,NextPage,,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,debugVOY27V:debugHRG57Q,4153
49,,,NextPage,,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,debugVOY27V:debugHRG57Q,4525
50,,,NextPage,,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,debugVOY27V:debugHRG57Q,1543
51,,,NextPage,,,,,,,,,,3,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-4.html,,,,debugVOY27V:debugHRG57Q,3911
52,,,FinishInstructions,,,,,,,,,,4,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-ready.html,,,,debugVOY27V:debugHRG57Q,807
53,,,Begin,,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-4.html', u'instructions/instruct-ready.html']",,,debugVOY27V:debugHRG57Q,
54,,,NextPage,,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,debugVOY27V:debugHRG57Q,1445
55,,,NextPage,,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,debugVOY27V:debugHRG57Q,2900
56,,,NextPage,,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,debugVOY27V:debugHRG57Q,903
57,,,NextPage,,,,,,,,,,3,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-4.html,,,,debugVOY27V:debugHRG57Q,1495
58,,,FinishInstructions,,,,,,,,,,4,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-ready.html,,,,debugVOY27V:debugHRG57Q,503
59,,,Begin,,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-4.html', u'instructions/instruct-ready.html']",,,debugVOY27V:debugHRG57Q,
60,,,NextPage,,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,debugVOY27V:debugHRG57Q,464
61,,,NextPage,,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,debugVOY27V:debugHRG57Q,1534
62,,,NextPage,,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,debugVOY27V:debugHRG57Q,24279
63,,,NextPage,,,,,,,,,,3,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-4.html,,,,debugVOY27V:debugHRG57Q,26623
64,,,FinishInstructions,,,,,,,,,,4,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-ready.html,,,,debugVOY27V:debugHRG57Q,894
65,,38,,,,,,,2275.101454,995,,,,,,228,,,,,gamble,8,,,,,1,,debugVOY27V:debugHRG57Q,
66,,8,,,,,,,2928.452644,1062,,,,,,573,,,,,gamble,8,,,,,2,,debugVOY27V:debugHRG57Q,
67,,8,,,,,,,3044.736145,329,,,,,,708,,,,,gamble,8,,,,,3,,debugVOY27V:debugHRG57Q,
68,,28,,,,,,,923.1382717,77,,,,,,229,,,,,gamble,8,,,,,4,,debugVOY27V:debugHRG57Q,
69,,32,,,,,,,1696.362755,1093,,,,,,649,,,,,gamble,2,,,,,5,,debugVOY27V:debugHRG57Q,
70,,28,,,,,,,856.417651,0,,,,,,243,,,,,success,8,,,,,6,,debugVOY27V:debugHRG57Q,
71,,35,,,,,,,1059.604831,1131,,,,,,167,,,,,gamble,5,,,,,7,,debugVOY27V:debugHRG57Q,
72,,24,,,,,,,2135.013999,0,,,,,,649,,,,,success,4,,,,,8,,debugVOY27V:debugHRG57Q,
73,,35,,,,,,,1882.870783,876,,,,,,333,,,,,gamble,5,,,,,9,,debugVOY27V:debugHRG57Q,
74,,9,,,,,,,2028.516772,0,,,,,,211,,,,,success,9,,,,,10,,debugVOY27V:debugHRG57Q,
75,,1,,,,,,,2904.711913,0,,,,,,153,,,,,success,1,,,,,11,,debugVOY27V:debugHRG57Q,
76,,5,,,,,,,1475.029644,0,,,,,,124,,,,,success,5,,,,,12,,debugVOY27V:debugHRG57Q,
77,,,,,,,,,,,,,,,,,,postquestionnaire,,,,,begin,,,,,,debugVOY27V:debugHRG57Q,
78,1,,,,,,,,,,,,,,,,,postquestionnaire,,,,,submit,,,,,,debugVOY27V:debugHRG57Q,
79,,,,i . hate this,,,,,,,,,,,,,,,,,,,,,,,,,debugVOY27V:debugHRG57Q,
80,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,debugVOY27V:debugHRG57Q,
81,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,debugVOY27V:debugHRG57Q,
82,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,debugVOY27V:debugHRG57Q,
83,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,debugVOY27V:debugHRG57Q,
84,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,debugVOY27V:debugHRG57Q,
85,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,debugVOY27V:debugHRG57Q,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,debugVOY27V:debugHRG57Q,
87,,,Begin,,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,debugVOY27V:debugHRG57Q,
88,,,NextPage,,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,debugVOY27V:debugHRG57Q,527
89,,,NextPage,,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,debugVOY27V:debugHRG57Q,1485
90,,,NextPage,,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,debugVOY27V:debugHRG57Q,694
91,,,FinishInstructions,,,,,,,,,,3,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-ready.html,,,,debugVOY27V:debugHRG57Q,807
92,,32,,,,,,,1548.772846,791,,,,,,243,,,"null,f,j,f,j,f,j,f,j,f,j,f","null,443,758,1463,2153,2843,3098,3428,3683,4313,4973,5708",gamble,2,,"null,668,64,94,33,214,3,94,63",,,1,,debugVOY27V:debugHRG57Q,
93,,35,,,,,,,2959.675997,954,,,,,,212,,,"null,f,j,f,j,f,f,j,j,f,j","null,444,1089,1824,2484,3099,3429,4104,4359,4854,5574",gamble,5,,"null,325,65,79,48,319,34,125,94",,,2,,debugVOY27V:debugHRG57Q,
94,,4,,,,,,,3531.343877,0,,,,,,605,,,"null,f,j,f,j,f,j,f,j","null,384,1044,1734,2394,3115,3789,4434,5169",success,4,,"null,280,65,34,49,78,50,19,78",,,3,,debugVOY27V:debugHRG57Q,
95,,31,,,,,,,1771.471675,1274,,,,,,244,,,"null,f,j,f,j,f,j,j,f,j,f,j,f","null,353,697,1432,2077,2813,3367,3772,4073,4328,5048,5708,6368",gamble,1,,"null,623,110,50,64,905,49,49,18",,,4,,debugVOY27V:debugHRG57Q,
96,,1,,,,,,,1044.309248,0,,,,,,0,,,"null,j,f,j,f,j,f,j,f,j,j","null,352,682,1313,2003,2707,3443,4058,4792,5362,5768",failOutcome,1,,"null,592,5,34,109,79,5,93,378",,,5,,debugVOY27V:debugHRG57Q,
97,,29,,,,,,,2231.629539,0,,,,,,560,,,"null,f,j,j,f,j,f,j,j,f,j","null,410,620,1025,1744,2435,3155,3815,4130,4595,5240",success,9,,"null,305,19,80,49,80,20,169,49",,,6,,debugVOY27V:debugHRG57Q,
98,,1,,,,,,,1974.010764,381,,,,,,0,,,"null,f,j,f,j,f,j,j,f,j,f","null,383,668,1313,2063,2723,3053,3518,4147,4793,5439",gambleFail,1,,"null,578,5,110,34,167,33,20,64",,,7,,debugVOY27V:debugHRG57Q,
99,,,,,,,,,,,,,,,,,,postquestionnaire,,,,,begin,,,,,,debugVOY27V:debugHRG57Q,
100,1,,,,,,,,,,,,,,,,,postquestionnaire,,,,,submit,,,,,,debugVOY27V:debugHRG57Q,
101,,,,very short i loved it,,,,,,,,,,,,,,,,,,,,,,,,,debugVOY27V:debugHRG57Q,
102,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,debugVOY27V:debugHRG57Q,
103,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,debugVOY27V:debugHRG57Q,
104,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,debugVOY27V:debugHRG57Q,
105,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,debugVOY27V:debugHRG57Q,
106,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,debugVOY27V:debugHRG57Q,
107,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,debugVOY27V:debugHRG57Q,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,debugVOY27V:debugHRG57Q,
109,,,Begin,,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,debug45QYMY:debug5TGOV0,
110,,,NextPage,,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,debug45QYMY:debug5TGOV0,415
111,,,NextPage,,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,debug45QYMY:debug5TGOV0,972
112,,,NextPage,,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,debug45QYMY:debug5TGOV0,1039
113,,,FinishInstructions,,,,,,,,,,3,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-ready.html,,,,debug45QYMY:debug5TGOV0,775
114,,39,,,,,,,1307.853894,103,,,,,,828,12,,",j,f,j,j,f,j,j,f,j,j,f,j,f,j,j,j,f,j,f,j,f,j,f,f,j,f,j,j,j,f,j,f,j,f,j,j,j,f,j,j,f,f,j,f,j,f,j,f,f",",204,219,263,699,743,804,1314,1373,1434,2063,2078,2109,2424,3009,3024,3459,3549,3878,3909,3953,4254,4314,4809,5154,5814,6563,6578,6593,6909,6924,6969,7329,7344,7705,7719,7749,8063,8109,8139,8438,8469,8934,8949,9234,9249,9578,9909,9924,10254",gamble,9,,",534,709,902,2388,93,200,199,379",,,1,,debug45QYMY:debug5TGOV0,
115,,31,,,,,,,1514.916884,0,,,,,,0,12,,",j,f,j,f,j,f,j,f,f,j,f,f,f,f,j,f,f,j,f,j,j,f,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j",",37,232,307,457,562,727,847,997,1267,1342,1552,2947,4597,5047,5302,5647,5782,5812,6097,6112,6382,6397,6773,6787,7057,7087,7342,7342,7612,7627,7852,7867,8212,8227,8542,8572,8812,8827,9097,9128,10417,10447,10687,10702,10897,10927",failOutcome,1,,",142,454,95,3169,244,259,257,1323",,,2,,debug45QYMY:debug5TGOV0,
116,,25,,,,,,,1589.933212,0,,,,,,271,24,,",f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j",",849,909,1074,1149,1314,1404,1554,1719,1839,1929,2094,2169,2859,2934,3114,3204,3370,3459,3624,3714,3864,3955,4089,4209,4359,4464,4599,4690,4840,4914,5080,5169,5334,5410,5575,5649,5829,5919,6084,6189",success,5,,",729,64,34,3,3,4,230,215",,,3,,debug45QYMY:debug5TGOV0,
117,,5,,,,,,,2569.268095,445,,,,,,230,36,,",f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f",",623,878,1104,1193,1344,1419,1569,1644,1793,1854,2019,2093,2244,2304,2454,2543,2693,2784,2934,3008,3593,3759,3863,3999,4088,4223,4299,4448,4523,4674,4764,4929,5005,5153,5259,5393,5499,5634,5738,5873,5979,6129,6234,6368,6489,6623",gamble,5,,",489,213,170,170,63,185,199,245",,,4,,debug45QYMY:debug5TGOV0,
118,,4,,,,,,,2457.794975,211,,,,,,0,24,,",f,j,f,j,j,f,j,j,f,j,j,j,f,j,f,j,f,j,j,f,j,f,j,f,j,f,j,f,j,f,f,j,f,j,f,j,f,j",",139,214,500,559,574,905,935,950,2585,2674,2840,2975,2989,3125,3274,3380,3665,3680,3950,4070,4204,4355,4474,4610,4715,4865,4969,5105,5195,5360,5645,5750,5900,6020,6125,6260,6365,6530",gambleFail,4,,",5,110,1174,79,79,4,33,49",,,5,,debug45QYMY:debug5TGOV0,
119,,38,,,,,,,1107.909352,0,,,,,,452,12,,",j,j,j,j,f,j,j,j,f,j,j,f,j,j,j,j,j,f,j,j,f,j,j,f,j,j,f,j,j,j,j,f,f,j,f,j",",459,909,999,1479,5094,5124,5184,5499,5514,5589,6009,6084,6099,6459,6849,6924,7344,7525,7539,8019,8049,8109,8559,8634,8694,9249,9324,9339,11499,11559,11829,11904,14245,14349,14484,14604",success,8,,",684,3739,79,1053,229,243,1624,2029",,,6,,debug45QYMY:debug5TGOV0,
120,,9,,,,,,,2109.254775,800,,,,,,0,24,,",f,j,f,j,j,f,j,f,f,j,f,j,f,j,f,j,j,f,j,f,j,f,j,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j",",579,714,849,894,1134,1239,1419,1494,1719,1734,1989,2139,2260,2349,2484,2560,2739,2784,2979,3099,3234,3384,3504,3564,3654,3789,3939,4074,4179,4299,4434,4539,4674,4764,4899,4989,5124,5289,5469,5619,5739,5799,5964,6189,6399,6444",gambleFail,9,,",519,244,4,319,33,64,168,123",,,7,,debug45QYMY:debug5TGOV0,
121,,8,,,,,,,1144.866675,0,,,,,,258,12,,",f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,j,f,f,f,f,f,j,f",",502,592,757,937,1087,1177,1342,1417,1567,1912,2047,2122,2317,2377,2573,2723,2858,2962,3097,3217,3352,3457,4072,4702,5032,5692,6277,6712,6757,7132,7522",success,8,,",473,109,228,18,33,64,1835,470",,,8,,debug45QYMY:debug5TGOV0,
122,,38,,,,,,,740.3880929,0,,,,,,419,12,,",f,j,f,j,f,j,f,f",",1117,1867,2723,3427,4267,4868,5557,5992",success,8,,",383,154,140,139,140,169,490,485",,,9,,debug45QYMY:debug5TGOV0,
123,,,,,,,,,,,,,,,,,,postquestionnaire,,,,,begin,,,,,,debug45QYMY:debug5TGOV0,
124,0,,,,,,,,,,,,,,,,,postquestionnaire,,,,,submit,,,,,,debug45QYMY:debug5TGOV0,
125,,,,"ready
",,,,,,,,,,,,,,,,,,,,,,,,,debug45QYMY:debug5TGOV0,
126,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,debug45QYMY:debug5TGOV0,
127,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,debug45QYMY:debug5TGOV0,
128,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,debug45QYMY:debug5TGOV0,
129,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,debug45QYMY:debug5TGOV0,
130,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,debug45QYMY:debug5TGOV0,
131,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,debug45QYMY:debug5TGOV0,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,debug45QYMY:debug5TGOV0,
133,,,Begin,,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL,
134,,,NextPage,,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL,20821
135,,,NextPage,,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL,88478
136,,,NextPage,,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL,106603
137,,,FinishInstructions,,,,,,,,,,3,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-ready.html,,,,A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL,52648
138,,35,,,,,,,778.1420081,1057,,,,,,640,12,,",fkey,space,fkey,jkey,fkey,jkey,fkey,jkey",",829,2664,3941,4901,5811,6540,7431,8366",gamble,5,,",695,106,1712,345,288,89,250,296",,,1,,A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL,
139,,86,,,,,,,2494.116251,0,,,,,,784,36,,",fkey,jkey,fkey,jkey,jkey,fkey,jkey,fkey",",1051,1390,2267,3047,4724,5522,6320,7210",success,6,,",1255,238,130,187,207,196,162,250",,,2,,A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL,
140,,2,,,,,,,3626.786228,1148,,,,,,528,48,,",fkey,jkey,fkey,jkey,jkey,space,fkey,jkey",",987,1903,2810,3703,5320,5785,6396,7284",gamble,2,,",837,269,265,265,214,126,462,237",,,3,,A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL,
141,,4,,,,,,,2103.342416,1118,,,,,,585,24,,",fkey,jkey,fkey,jkey,fkey,jkey,space,jkey,fkey,jkey,fkey",",812,1606,2335,3159,3891,4690,4839,5742,6243,7164,7977",gamble,4,,",1434,131,156,161,96,907,298,169",,,4,,A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL,
142,,34,,,,,,,860.3910804,0,,,,,,578,12,,",fkey,fkey,jkey,fkey,jkey,fkey,jkey",",941,2535,3350,4105,4848,5628,6371",success,4,,",768,228,122,173,116,129,132,160",,,5,,A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL,
143,,9,,,,,,,1038.461546,0,,,,,,742,12,,",fkey,jkey,fkey,jkey,fkey,jkey,fkey,jkey",",929,1974,3109,4243,5038,5842,6591,7292",success,9,,",787,453,455,540,96,140,107,100",,,6,,A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL,
144,,28,,,,,,,1059.370145,0,,,,,,854,12,,",fkey,jkey,fkey,jkey,space,fkey,jkey,fkey,jkey,fkey",",771,1070,1914,3020,3888,4441,5373,6305,7205,8202",success,8,,",885,247,414,827,284,297,259,377",,,7,,A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL,
145,,25,,,,,,,1881.909124,1058,,,,,,606,24,,",jkey,fkey,space,fkey,jkey,fkey,jkey,fkey",",1394,2213,4302,5596,6731,7937,8823,9716",gamble,5,,",1218,209,322,1770,513,572,269,251",,,8,,A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL,
146,,22,,,,,,,668.7685279,0,,,,,,751,12,,",fkey,jkey,fkey,jkey,jkey,fkey,jkey,fkey,jkey",",6511,8504,9266,9875,10375,11203,12029,12829,13608",success,2,,",6320,1383,125,532,145,168,205,162",,,9,,A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL,
147,,1,,,,,,,3092.082974,1329,,,,,,435,48,,",fkey,jkey,fkey,jkey,fkey,jkey,space,fkey,jkey",",833,1654,2537,3272,3977,5053,5273,6057,6753",gamble,1,,",650,205,215,122,70,390,397,50",,,10,,A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL,
