,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,lateResponse,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,understand,uniqueid,viewTime
0,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,debug4SCYZG:debugFKESTJ,
1,,,NextPage,,,,,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,debug4SCYZG:debugFKESTJ,811.0
2,,,NextPage,,,,,,,,,1.0,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,debug4SCYZG:debugFKESTJ,1281.0
3,,,PrevPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,debug4SCYZG:debugFKESTJ,3233.0
4,,,NextPage,,,,,,,,,1.0,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,debug4SCYZG:debugFKESTJ,3132.0
5,,,PrevPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,debug4SCYZG:debugFKESTJ,3955.0
6,,,NextPage,,,,,,,,,1.0,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,debug4SCYZG:debugFKESTJ,2972.0
7,,,PrevPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,debug4SCYZG:debugFKESTJ,6908.0
8,,,NextPage,,,,,,,,,1.0,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,debug4SCYZG:debugFKESTJ,3973.0
9,,,NextPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,debug4SCYZG:debugFKESTJ,10292.0
10,,,FinishInstructions,,,,,,,,,3.0,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,debug4SCYZG:debugFKESTJ,21307.0
11,,26.0,,,,,,2032.2301788949858,0.0,,917.0,,,0.0,,0.0,,failOutcome,6,,,,1.0,,debug4SCYZG:debugFKESTJ,
12,,33.0,,,,,,6072.157690269268,795.0,,0.0,,,0.0,,0.0,,gamble,3,,,,2.0,,debug4SCYZG:debugFKESTJ,
13,,25.0,,,,,,5917.101034110923,0.0,,0.0,,,0.0,,0.0,,fail,5,,,,3.0,,debug4SCYZG:debugFKESTJ,
14,,86.0,,,,,,4162.603824126804,0.0,,0.0,,,0.0,,0.0,,fail,6,,,,4.0,,debug4SCYZG:debugFKESTJ,
15,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,debug4SCYZG:debugFKESTJ,
16,,,NextPage,,,,,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,debug4SCYZG:debugFKESTJ,880.0
17,,,NextPage,,,,,,,,,1.0,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,debug4SCYZG:debugFKESTJ,1278.0
18,,,NextPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,debug4SCYZG:debugFKESTJ,855.0
19,,,FinishInstructions,,,,,,,,,3.0,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,debug4SCYZG:debugFKESTJ,676.0
20,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,debug4SCYZG:debugFKESTJ,
21,,,NextPage,,,,,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,debug4SCYZG:debugFKESTJ,757.0
22,,,NextPage,,,,,,,,,1.0,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,debug4SCYZG:debugFKESTJ,1340.0
23,,,NextPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,debug4SCYZG:debugFKESTJ,818.0
24,,,FinishInstructions,,,,,,,,,3.0,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,debug4SCYZG:debugFKESTJ,699.0
25,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,debug4SCYZG:debugFKESTJ,
26,,,NextPage,,,,,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,debug4SCYZG:debugFKESTJ,1316.0
27,,,NextPage,,,,,,,,,1.0,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,debug4SCYZG:debugFKESTJ,1313.0
28,,,NextPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,debug4SCYZG:debugFKESTJ,718.0
29,,,FinishInstructions,,,,,,,,,3.0,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,debug4SCYZG:debugFKESTJ,635.0
30,,33.0,,,,,,3896.3772432948663,0.0,,1232.0,,,0.0,,249.0,,success,3,,,,1.0,,debug4SCYZG:debugFKESTJ,
31,,2.0,,,,,,4148.261519248252,1198.0,,0.0,,,0.0,,0.0,,gamble,2,,,,2.0,,debug4SCYZG:debugFKESTJ,
32,,26.0,,,,,,3982.740458864286,0.0,,0.0,,,0.0,,0.0,,earlyFail,6,,,,3.0,,debug4SCYZG:debugFKESTJ,
33,,5.0,,,,,,4070.9105801329324,0.0,,0.0,,,0.0,,0.0,,earlyFail,5,,,,4.0,,debug4SCYZG:debugFKESTJ,
34,,3.0,,,,,,1900.007925798198,0.0,,0.0,,,0.0,,0.0,,fail,3,,,,5.0,,debug4SCYZG:debugFKESTJ,
35,,24.0,,,,,,1856.3944112708848,0.0,,0.0,,,0.0,,0.0,,fail,4,,,,6.0,,debug4SCYZG:debugFKESTJ,
36,,3.0,,,,,,5998.587837683218,0.0,,1225.0,,,0.0,,153.0,,success,3,,,,7.0,,debug4SCYZG:debugFKESTJ,
37,,6.0,,,,,,5996.116887734772,551.0,,0.0,,,0.0,,0.0,,gamble,6,,,,8.0,,debug4SCYZG:debugFKESTJ,
38,,34.0,,,,,,6030.882578079946,0.0,,511.0,,,0.0,,171.0,,success,4,,,,9.0,,debug4SCYZG:debugFKESTJ,
39,,3.0,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,,failOutcome,3,,,,10.0,,debug4SCYZG:debugFKESTJ,
40,,23.0,,,,,,1975.6398727709602,0.0,,1366.0,,,0.0,,223.0,,success,3,,,,11.0,,debug4SCYZG:debugFKESTJ,
41,,1.0,,,,,,1927.9885620293182,0.0,,0.0,,,0.0,,0.0,,fail,1,,,,12.0,,debug4SCYZG:debugFKESTJ,
42,,33.0,,,,,,6082.193950270116,0.0,,1245.0,,,0.0,,213.0,,success,3,,,,13.0,,debug4SCYZG:debugFKESTJ,
43,,,,,,,,,,,,,,,,,postquestionnaire,,,begin,,,,,debug4SCYZG:debugFKESTJ,
44,4.0,,,,,,,,,,,,,,,,postquestionnaire,,,submit,,,,,debug4SCYZG:debugFKESTJ,
45,,,,,,5,,,,,,,,,,,,,,,,,,,debug4SCYZG:debugFKESTJ,
46,,,,,5,,,,,,,,,,,,,,,,,,,,debug4SCYZG:debugFKESTJ,
